,Hour of Day,,,,,,,,,,,,,,,,,,,,,,,
,2021,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2021,6862,6338,6439,6575,7213,7959,8772,10572,11048,11706,11565,11287,10835,10379,10250,9876,9358,8616,8999,8018,7083,6700,7013,6605
1/2/2021,6715,6275,6612,6657,7677,8111,8683,10333,11218,11556,11220,10984,10250,10291,9884,9988,9611,8710,8418,7890,7383,6965,7313,6755
1/3/2021,6824,6316,6395,6398,7387,7600,8854,9827,10550,11008,10645,10429,9984,9655,9419,9068,8536,8029,7653,7047,6494,6282,6663,6279
1/4/2021,6329,5995,5802,6225,6925,7606,8883,9979,10157,11626,11467,11206,10966,10833,10557,10082,9605,8907,8253,7775,7433,6955,6881,6373
1/5/2021,6441,6339,6370,6594,7242,7877,9071,9897,10847,11322,11219,10891,10723,10324,10273,10033,9664,9129,8398,7959,7440,7118,7217,6854
1/6/2021,6726,6434,6353,6714,7419,8150,8931,9393,10501,11041,11264,11078,10969,10287,10054,9775,9118,8653,8063,7267,7031,6329,6307,5880
1/7/2021,5565,5148,5119,5016,5304,5636,6490,7869,8328,8706,8686,8835,8891,8742,8860,8498,8582,7917,8140,7532,7122,6321,6501,5871
1/8/2021,5870,5544,5701,5798,6215,7050,8167,9492,9639,9820,9262,8985,8669,8331,8293,8346,7980,7905,7818,7291,6920,6176,6025,5578
1/9/2021,5548,5415,5180,5476,5987,6523,7435,8672,8755,9284,8725,8630,8644,8318,8149,7993,7927,7928,7786,7340,6790,6469,6103,5720
1/10/2021,5647,5413,5418,5576,6152,6564,7183,8059,8082,8686,8248,8264,8012,7821,7606,7455,7299,7296,7016,6764,6385,6026,5794,5610
1/11/2021,5500,5345,5279,5423,6058,6540,7372,8832,9040,9645,9223,8992,8886,8502,8463,8173,8201,7740,8251,7565,7131,6494,6498,6051
1/12/2021,6110,5762,5705,5854,6444,6964,7974,9370,9521,9668,8872,8926,9198,8702,8893,8604,8720,8207,8032,7765,7197,6730,6575,6142
1/13/2021,6017,5721,5731,6020,6561,7113,7984,9548,9839,10401,9984,9513,9667,9141,9414,9068,8641,8076,8124,7748,7159,6678,6765,6320
1/14/2021,6245,5954,6094,6208,6937,7334,8145,9368,9895,10500,10296,9694,9431,8809,8753,8490,8221,8032,7090,6988,6469,6192,6500,5845
1/15/2021,5971,5859,5689,5949,6630,7089,8237,9931,10321,11152,11269,10840,10645,10293,10154,9976,9426,8639,8380,8002,7272,6785,7230,6697
1/16/2021,6546,6264,6422,6617,7291,7805,8956,10249,10738,11388,10922,10797,10487,10167,10189,9888,9454,8692,8418,7988,7309,6995,7106,6620
1/17/2021,6944,6421,6507,6618,7338,7849,8566,9671,9941,10706,10633,10412,10157,9853,9589,9306,8534,8046,7744,7446,6921,6655,6913,6411
1/18/2021,6503,6282,6197,6685,7264,7839,9022,10653,10906,11652,11494,11230,11174,10398,10427,10336,9697,8992,8674,7951,7578,7256,7461,7083
1/19/2021,7158,6605,6818,6857,7603,8308,9399,10481,11124,12072,11425,11516,11422,10754,10692,10885,10358,9596,8980,8521,7819,7292,7783,7358
1/20/2021,7190,6893,6813,7149,7757,8525,9659,11120,11427,12025,11439,11145,10876,10720,10620,10591,10012,9496,8990,8615,8195,7691,7935,7263
1/21/2021,7244,7032,6948,7225,7905,8580,9758,10612,10781,12076,11659,11663,10760,10618,10673,10440,10273,9662,9217,8774,8192,7748,8108,7590
1/22/2021,7582,7292,7283,7572,8200,8994,9690,9962,10674,12009,11591,11477,10988,10410,10879,10892,10641,9639,9359,8740,8375,7931,8171,7672
1/23/2021,7798,7207,7193,7501,8305,8945,9962,10937,11102,12286,12471,12123,12026,11306,11221,10650,9487,8979,9067,8575,8069,7694,8405,7780
1/24/2021,7604,7282,7117,7475,8019,8778,9445,10518,10736,11450,11103,10897,10639,10342,10181,9998,9582,8676,8109,7979,7441,7160,7487,6982
1/25/2021,6841,7051,6736,7035,7708,8550,9391,11069,11449,12151,11975,11795,11398,11057,11108,10941,10396,9536,9017,8408,8246,7662,8247,7668
1/26/2021,7662,7283,7238,7502,8310,8222,9050,10331,10669,11152,11330,10971,10865,10616,10158,9820,9702,9032,8153,7919,7338,7331,7593,7101
1/27/2021,7188,6813,6883,6919,8138,8694,9510,11182,11610,12257,12032,11737,11859,11143,11296,11160,10557,9910,9279,8781,7992,7756,8134,7863
1/28/2021,7499,7511,7263,7723,8434,8989,10033,11497,11780,12556,12104,11692,11717,11458,11305,10923,10499,9689,9171,8303,7955,7796,8236,7743
1/29/2021,7569,7431,7335,7563,8324,9176,10180,11695,12064,12795,12339,12130,11781,11411,11121,11156,10823,10041,9317,8674,8139,7798,8294,7708
1/30/2021,7884,7421,7444,7789,8456,9209,10146,11263,11716,12474,12268,12313,11563,11157,11490,11278,10859,9785,9520,8941,8218,8059,8525,7947
1/31/2021,7937,7746,7401,7708,8357,8862,9275,10354,10671,11907,11360,11437,11109,10980,10629,10348,9981,9026,8242,7980,7582,7429,7744,7427
,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021,7388,6918,7186,7347,8099,8669,9787,11261,11588,12297,12031,12127,11727,11449,11389,11255,10353,9807,9090,8821,8104,7770,7917,7921
2/2/2021,7690,7413,7331,7528,8376,9137,10016,11622,11854,12511,12099,11902,11850,11251,11321,11520,10762,10050,9244,8695,8121,7840,8108,7657
2/3/2021,7663,7757,7343,7729,8393,9019,10018,11517,11895,12699,12309,12130,11805,11452,11669,11447,10892,10218,9390,8863,7947,7985,8025,7798
2/4/2021,7656,7539,7481,7631,8602,9101,10190,11681,11833,12536,12056,12009,12012,11312,11298,11416,11009,10115,9134,8832,8130,8191,8323,7686
2/5/2021,7845,7454,7480,7673,8646,9199,10400,11950,12050,12819,12597,12279,12111,11502,11425,11064,10823,10018,9384,8850,8397,7933,8410,7858
2/6/2021,7925,7645,7686,7702,8859,9302,10224,11063,11714,12808,12549,12296,11733,11573,11521,11259,10841,9403,9314,8991,8169,8075,8521,8120
2/7/2021,8101,7872,7805,8323,8801,9179,9841,11117,10894,11610,10963,10800,10577,10724,10046,9954,9382,8767,8312,8107,7631,7233,7807,7368
2/8/2021,7396,7166,7059,7186,8152,8672,9826,11283,11441,11063,11528,11437,11124,11230,11151,10949,10828,9669,9287,9226,8429,8171,8434,8092
2/9/2021,7966,7606,7549,7794,8507,9253,10293,11751,11875,12514,12325,12141,11900,11303,11671,11308,11001,10228,9490,9151,8443,8073,8353,7772
2/10/2021,7935,7736,7709,8031,8720,9392,10170,11676,11753,12803,12194,12010,12124,11607,11500,11551,11223,9802,9333,9090,8298,8180,8432,8404
2/11/2021,8043,7791,7640,8114,8772,9578,10230,11149,11986,12857,12349,12213,11821,11503,11565,11350,10899,10187,9509,9070,8180,8086,8477,7922
2/12/2021,7866,7596,7355,7624,8801,9353,10497,11778,12079,12514,12783,12470,12106,11491,11604,12037,11459,10524,9474,9004,8268,8402,8486,8046
2/13/2021,8134,7603,7537,7876,8792,9364,10411,11814,12041,12805,12495,12435,12167,11868,11649,11627,11186,10398,9422,9006,8389,8173,8687,8085
2/14/2021,8120,7933,7863,7945,8604,9390,9890,11061,11470,12306,12179,11691,11605,11251,10960,10728,10363,9107,8819,8378,7764,7725,8179,7824
2/15/2021,7818,7511,7501,7688,8672,9343,10069,11513,11789,12958,13099,12602,12194,11896,11995,11475,11292,10154,9583,9206,8667,8435,8964,8897
2/16/2021,8387,7993,7839,8261,8975,9674,10676,11796,12035,12918,12597,12453,12455,12099,12396,12284,11492,10050,9431,9070,8101,8325,8894,8411
2/17/2021,8416,8024,8018,8181,9180,9847,10924,12089,12125,12879,12757,12566,12410,11951,11884,11677,11262,10495,9628,9228,8572,8437,8966,8362
2/18/2021,8414,7859,7888,8178,8946,9855,10871,12261,12220,13432,12900,12460,12416,12189,11976,11751,11155,10371,9323,8678,8072,7906,7804,7153
2/19/2021,7454,6982,7190,7080,8003,8610,9460,11127,11170,11882,11829,11624,11465,10834,10976,10911,10109,8587,7993,7984,7392,7197,7537,6672
2/20/2021,6639,6265,6169,6511,6868,7670,8882,10143,10658,11177,10960,10937,11054,10403,10513,10220,9012,8460,8376,8217,7537,7286,7300,7015
2/21/2021,7043,6723,6545,6636,6910,7617,8082,9517,9706,10110,10067,9512,9465,9055,8673,8193,7912,7209,7314,7074,6738,6509,6338,5828
2/22/2021,5742,5449,5422,5558,6464,6779,8304,9757,9738,10240,10325,10148,10231,9620,9743,9601,8961,8409,8312,7975,7594,6868,7120,6389
2/23/2021,6455,6115,6141,6251,6816,7356,8594,9743,10016,10636,10352,10248,10334,9894,9932,9722,9391,8845,8764,8407,7984,7660,7621,7185
2/24/2021,6929,6843,6607,6872,7292,7764,9193,10545,10732,11438,10973,10952,10868,10166,10283,10152,9770,8883,8933,8769,8289,7605,7930,7427
2/25/2021,7555,7203,6837,7272,7837,8544,9717,10653,11330,12022,11820,11613,11360,10605,10743,10250,9941,9416,9371,9016,8499,8158,8450,7979
2/26/2021,7759,7590,7360,7603,8372,9153,10121,11562,11579,12503,12056,12114,11912,11265,11344,11094,10490,9884,9413,9176,8807,8459,8796,8104
2/27/2021,8122,7826,7561,7846,8411,9021,9843,11353,11534,12403,12262,11535,11922,11593,11711,11603,10948,10056,9497,9346,9200,8510,8772,8162
2/28/2021,8200,7987,7844,8004,8713,8999,9587,10584,10923,12085,11936,11375,11014,10851,10644,10552,9994,9093,8680,8420,7838,7930,8530,7946
,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2021,8191,7510,7490,7826,8381,9056,10179,11378,11455,12718,12077,11871,12135,11699,11831,11919,11323,10513,9687,9403,9086,8827,9082,8595
3/2/2021,8511,8187,8186,8490,9292,9792,10156,11383,12095,12989,12905,12925,12633,12139,12109,12074,11380,10286,9899,9493,9005,9127,9381,8795
3/3/2021,8699,8660,8399,8576,9186,10014,10671,11473,11821,13077,12912,11844,10865,10877,10842,11110,10963,10252,9966,9659,8871,8788,9417,8557
3/4/2021,8474,8016,8182,8612,9210,9804,10989,12099,12112,13231,12131,11823,11434,10968,11631,11719,11376,10594,10225,9707,9182,9113,9445,8849
3/5/2021,8872,8421,8395,8868,9776,10337,11319,12324,12385,13349,13039,12498,12573,12096,12216,12168,11605,9983,10135,10037,9239,9225,9597,8606
3/6/2021,9037,8606,8567,8784,9654,10242,10600,11154,12144,13188,12864,12681,12820,12371,12501,12324,11465,10018,9728,9685,9131,9793,10202,9470
3/7/2021,9321,8897,8485,9199,9999,9862,10200,10712,11574,12404,12073,12035,11769,11453,11116,10913,10343,9718,9130,9123,8669,8550,9331,8827
3/8/2021,8979,8430,8350,8614,9534,10238,10862,11809,12526,13073,12909,13004,12884,12242,12847,12356,11586,9334,10149,9893,9715,9404,9776,9375
3/9/2021,9293,9052,9018,9242,9962,10183,11580,12600,12401,13366,13036,13072,12848,12446,12480,12519,11798,10953,10312,10091,9224,9704,9841,9218
3/10/2021,9354,8935,8671,9175,9805,10463,10924,11731,12183,13650,13323,13311,13077,12831,12856,12621,11655,10742,10509,9955,9583,9459,10280,9667
3/11/2021,9442,9230,9054,9230,10120,10639,11160,11740,12456,13837,13716,13584,13180,12679,12864,12486,12166,10580,9982,9703,9170,9190,10165,9286
3/12/2021,9342,9089,8906,9185,9735,10368,10064,10736,12430,13620,13431,13409,13271,12766,12485,12499,12237,10715,10288,9811,9306,9344,9841,9287
3/13/2021,9342,9089,8906,9185,9855,10377,11283,12101,12168,13315,13184,13060,12926,12548,12649,12310,11681,10219,9971,9665,9181,9239,9709,9248
3/14/2021,9217,8677,8638,8933,9699,10040,10772,11505,11489,12230,11618,11450,11997,11838,11556,11321,10858,10002,9269,9194,8624,8804,9496,8896
3/15/2021,9062,8676,8493,8797,9476,10176,11341,11694,12483,13176,13395,12917,12922,12785,12850,12462,11984,10775,10289,9945,9425,9364,9791,9447
3/16/2021,9062,8676,8493,8797,9476,10176,11341,11694,12483,13176,13395,12917,12922,12785,12850,12462,11984,10775,10289,9945,9425,9364,9791,9447
3/17/2021,9564,9415,9119,9414,9976,10565,10837,10949,11812,13606,13528,13179,13081,12920,13008,12611,11494,10382,10030,10023,9840,9622,10004,10500
3/18/2021,9850,9534,9275,9557,10007,9899,10385,10610,11400,13679,13356,13141,13168,13043,13089,12871,11047,10003,10298,9710,9633,9429,10098,10125
3/19/2021,9953,9572,9435,9694,9474,9659,9690,10655,11262,12690,14004,13719,13926,13032,13251,13075,11208,10447,10321,9772,9601,9331,10037,9702
3/20/2021,10059,9425,9461,9293,8397,8523,9617,10295,10607,12675,13390,14001,13594,13358,13354,13051,10932,9613,10407,10168,9795,9267,10363,10271
3/21/2021,10629,10065,9937,9723,8861,9256,9629,10283,10971,12757,12940,12840,12343,12329,12020,11109,10280,9229,9198,9120,8600,8818,9688,9309
3/22/2021,10019,9587,9364,9571,8776,9235,9607,10602,10951,13390,13632,13805,13726,13297,13343,12478,10896,9894,10280,9854,9643,9933,10228,10227
3/23/2021,10651,10235,10143,9602,9279,9456,10016,10691,11594,13663,14076,13799,13528,13219,13002,12505,10987,9771,9855,9934,9885,9710,10156,10631
3/24/2021,10892,10215,10056,9723,9379,9715,10451,10899,11642,13935,14179,13866,13731,13722,13536,12985,10949,9902,10449,10047,9489,9975,10546,9957
3/25/2021,10296,9836,9572,9701,10219,10512,10885,11175,11679,13882,13981,13369,13543,13124,13005,12614,10959,10530,10689,10505,10142,9924,10813,9839
3/26/2021,10059,9615,9723,9656,10207,10283,10525,11150,11651,13701,14367,13884,13469,12897,13270,13190,12234,11114,10792,10653,10106,10011,10290,10317
3/27/2021,10370,9777,9868,9827,10461,10824,10644,11259,11881,13660,13811,13869,13532,13395,13436,13442,12316,10879,10679,10567,9999,10180,10587,10200
3/28/2021,10488,9728,9655,9922,10590,10918,10842,11213,11583,13059,13264,13070,13104,12512,12590,11833,10704,9623,9502,9392,8714,9047,9512,9369
3/29/2021,9403,8848,8873,9039,9750,10007,10536,11284,11471,13154,13569,13635,13017,13100,12818,12915,11195,10238,10099,9901,9441,9320,10051,9479
3/30/2021,9523,9210,8918,9072,9876,10046,10776,11405,11808,12941,13078,12871,12876,12851,12860,12834,12088,10987,10586,10572,9881,10004,10767,10073
3/31/2021,9769,9201,9377,9584,10288,10570,11116,11676,12290,13810,13948,13756,13534,13038,13116,13139,11868,10763,10291,10210,9949,9564,10217,9777
,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2021,10345,9759,9312,9679,10036,10577,11185,11979,12185,13752,13813,13318,13247,13099,13169,12736,11972,10913,10484,10428,9818,10043,10564,10165
4/2/2021,10044,9538,9431,9488,10256,10649,11359,11827,12435,13841,13898,13746,13946,13566,13153,13282,12457,10899,10565,10340,9922,10129,10797,10054
4/3/2021,10349,9787,9847,9901,10218,10626,11300,12055,12249,13751,13707,13975,13542,13307,13327,13091,11719,10748,10617,10378,9909,10004,10785,10121
4/4/2021,10137,9736,9718,9743,10466,10626,11249,11751,12056,13157,13045,13090,12894,12649,12418,12200,11337,10336,10020,9897,9542,9694,10217,9745
4/5/2021,9912,9558,9522,9805,10287,10687,11373,12263,12944,13842,13686,13371,13468,13205,13133,12655,11782,10405,10468,10320,9872,10226,10911,10516
4/6/2021,10610,10351,10142,10181,10007,10268,10726,10825,12329,13845,14010,13679,13757,13244,13295,13233,12324,10929,10882,10670,10213,10221,11137,10462
4/7/2021,10618,10295,10006,10270,10104,10595,10845,11482,12676,13969,13957,13784,13536,13151,13265,13109,11704,10426,10896,10752,10095,9901,9654,9158
4/8/2021,9441,9593,9240,9299,9684,9915,11035,11700,12684,13986,14158,13891,13768,13721,13921,13280,11954,11149,10902,10520,10015,9897,10835,10090
4/9/2021,9796,9335,9256,9218,9656,10018,10914,11352,13047,13985,14070,13826,13971,13655,13522,12235,11168,10767,10548,10341,10014,10041,10661,10331
4/10/2021,10201,10049,9958,10249,10126,10373,11054,11577,12034,13320,13345,13175,13279,13092,13133,12845,11979,10608,10472,10072,9663,10022,10694,10304
4/11/2021,10676,10162,9835,10019,10311,10385,11087,11526,11514,12984,13216,12764,12523,12455,12249,11651,10687,9260,9440,9196,8881,8805,9606,9369
4/12/2021,9586,9223,9143,9404,9799,9839,10238,11168,11691,13053,13544,13255,13162,12949,12805,12461,11265,10171,9865,9429,9098,9441,9929,9395
4/13/2021,9486,8942,8981,9130,9589,9739,10280,10628,10944,12240,12487,12247,11978,11673,11566,11235,10144,8425,8571,8654,8404,8688,9028,8542
4/14/2021,8667,8355,8362,8210,8710,8782,9412,10076,10511,11855,12291,12380,12651,11828,11408,10447,9600,8866,8122,8142,7513,7712,7986,7488
4/15/2021,7295,6844,6650,6526,6706,7043,7996,8896,9282,10602,11140,11238,11325,11419,11416,11244,10478,9356,9130,9255,8688,8365,8890,8418
4/16/2021,8355,7927,7882,7972,8174,8637,9563,9988,10363,11683,11710,11621,11527,11179,11452,11149,10879,9486,9683,9391,8925,8738,9159,8597
4/17/2021,8627,8289,8086,8539,8575,8841,9699,10359,10832,11950,12107,11996,11835,11631,11564,11179,10080,9627,9867,9648,9235,9159,9812,9296
4/18/2021,9184,8823,8708,8848,9130,9334,9722,10090,10073,10991,11054,11115,10858,10838,10519,10310,9423,8549,8391,8230,7846,7946,8787,8115
4/19/2021,8291,7956,7893,8126,8360,8797,9640,10392,10804,11982,12118,12118,11843,11709,11798,11501,10888,9710,9765,9672,9163,9151,9634,9285
4/20/2021,9171,8791,8746,8804,9039,9148,9912,10302,10646,11678,11688,11648,11587,11401,11252,10952,10287,8750,9375,9195,8598,8831,9409,9009
4/21/2021,8863,8364,8311,8575,8670,9219,9982,10713,10995,11766,11880,11633,11650,11410,11494,10917,9893,9265,9500,9454,8722,8838,9335,8604
4/22/2021,8555,8328,8150,8166,8367,8701,9613,10047,10554,11655,11495,11582,11454,11233,11146,11072,10460,9023,8817,8836,8113,7797,8047,7503
4/23/2021,7473,7268,7140,7085,7277,7510,8742,9180,9796,10811,10916,11080,10936,10629,10556,9914,9543,8207,7862,8029,7846,7871,7785,7604
4/24/2021,7270,6973,6849,6961,7095,7325,7951,8514,8800,9607,9898,9751,9973,9940,9746,9401,8547,7867,7986,8186,7858,8033,8220,7796
4/25/2021,7689,7513,7422,7576,7618,7889,8391,8620,8779,9792,9951,9841,9980,9457,9294,8946,7995,7475,7614,7915,7522,7437,7935,7564
